Comment,Max_PDOP,Max_HDOP,Corr_Type,GPS_Date,Datafile,GNSS_Heigh,Vert_Prec,Horz_Prec,Std_Dev,pt_type,pt_id,site_id,Z,origin,stem_map,graph,geometry
sm.041.ph2,5.0999999,3.2,Postprocessed Code,6/11/2024 0:00:00,mistletoe11.cor,71.926,0.9,0.5,1.085705,stem map,41,ph_2,71.92630000000645,diff gps,Y,Y,"c(1046859.85629765, 455092.136591516)"
ed.1.ph2,6.8000002,3.5999999,Postprocessed Code,6/11/2024 0:00:00,mistletoe11.cor,71.606,1.1,0.7,1.029116,edge,1,ph_2,71.60640000000421,diff gps,N,Y,"c(1046863.92274083, 455100.597198517)"
ts.168.ph2,6.6999998,3,Postprocessed Code,6/11/2024 0:00:00,mistletoe11.cor,71.466,1,0.6,0.713031,tran start,168,ph_2,71.46630000000005,diff gps,N,N,"c(1046854.23161821, 455096.659809675)"
ts.235.ph2,6.5,3.0999999,Postprocessed Code,6/11/2024 0:00:00,mistletoe11.cor,69.338,1,0.6,0.945372,tran start,235,ph_2,69.33789999999863,diff gps,N,N,"c(1046846.48660867, 455083.91980019)"
sm.042.ph2,7.0999999,1.7,Postprocessed Code,6/11/2024 0:00:00,mistletoe11.cor,69.745,0.9,0.5,0.53808,stem map,42,ph_2,69.74529999999504,diff gps,Y,Y,"c(1046855.66510057, 455082.743920081)"
sm.043.ph2,5.4000001,2.5999999,L1L2  Postprocessed Carrier Float,6/11/2024 0:00:00,mistletoe11.cor,72.59,1.1,0.6,0.483114,stem map,43,ph_2,72.58960000000661,diff gps,Y,Y,"c(1046850.77946161, 455075.387032027)"
ts.250.ph2,4.6999998,2.4000001,Postprocessed Code,6/11/2024 0:00:00,mistletoe11.cor,68.953,0.6,0.5,0.8312,tran start,250,ph_2,68.95260000000417,diff gps,N,N,"c(1046844.28631041, 455066.290581652)"
sm.044.ph2,4.3000002,2,L1L2  Postprocessed Carrier Float,6/11/2024 0:00:00,mistletoe11.cor,66.963,0.7,0.6,1.434321,stem map,44,ph_2,66.96289999999863,diff gps,Y,Y,"c(1046845.77891818, 455063.612037994)"
ed.2.ph2,5.6999998,3.0999999,L1  Postprocessed Carrier Float,6/12/2024 0:00:00,mistletoe11.cor,72.787,0.7,0.4,1.002081,edge,2,ph_2,72.78690000000643,diff gps,N,Y,"c(1046835.54426752, 455058.153602365)"
lf.1.ph2,2.7,1.4,Postprocessed Code,6/12/2024 0:00:00,mistletoe11.cor,70.49,0.9,0.6,0.373259,landscape feat,1,ph_2,70.48979999999574,diff gps,N,Y,"c(1046838.54380709, 455055.009008621)"
lf.1.ph2,2.7,1.7,Postprocessed Code,6/12/2024 0:00:00,mistletoe11.cor,70.836,0.6,0.5,0.067814,landscape feat,1,ph_2,70.83599999999569,diff gps,N,Y,"c(1046842.80676507, 455054.163763818)"
lf.1.ph2,4.3000002,2.0999999,Postprocessed Code,6/12/2024 0:00:00,mistletoe11.cor,69.964,0.6,0.5,0.131483,landscape feat,1,ph_2,69.96439999999711,diff gps,N,Y,"c(1046855.31414003, 455063.140146176)"
te.250.ph2,6.5999999,3.5,Postprocessed Code,6/12/2024 0:00:00,mistletoe11.cor,75.138,0.8,0.7,1.458626,tran end,250,ph_2,75.13830000000598,diff gps,N,N,"c(1046834.22287846, 455074.0331438)"
te.235.ph2,9.5,4.0999999,Postprocessed Code,6/12/2024 0:00:00,mistletoe11.cor,80.74,1.2,0.9,1.2012,tran end,235,ph_2,80.7396000000008,diff gps,N,Y,"c(1046833.71821828, 455091.52545151)"
te.168.ph2,58.9000015,22.7000008,Postprocessed Code,6/12/2024 0:00:00,mistletoe11.cor,84.039,0.9,0.6,1.653918,tran end,168,ph_2,84.0393999999942,diff gps,N,Y,"c(1046838.733589, 455101.299053346)"
ed.1.ph3,3.3,1.4,L1  Postprocessed Carrier Float,6/13/2024 0:00:00,mistletoe11.cor,63.271,0.5,0.4,0.112159,edge,1,ph_3,63.27129999999306,diff gps,N,Y,"c(1050210.04085733, 447265.990296075)"
ts.320.ph3,4.0999999,1.6,L1  Postprocessed Carrier Float,6/13/2024 0:00:00,mistletoe11.cor,63.043,0.6,0.4,0.199507,tran start,320,ph_3,63.04309999999532,diff gps,N,N,"c(1050210.48303517, 447252.745072855)"
ts.321.ph3,5.5999999,1.9,L1  Postprocessed Carrier Float,6/13/2024 0:00:00,mistletoe11.cor,59.247,0.7,0.5,0.238845,tran start,321,ph_3,59.247099999993225,diff gps,N,N,"c(1050213.59062737, 447238.843098724)"
ts.322.ph3,6.1999998,2.2,L1L2  Postprocessed Carrier Float,6/13/2024 0:00:00,mistletoe11.cor,58.066,1.2,0.6,1.035543,tran start,322,ph_3,58.06570000000647,diff gps,N,N,"c(1050220.55125237, 447225.612062965)"
ed.2.ph3,3.8,1.7,Postprocessed Code,6/13/2024 0:00:00,mistletoe11.cor,54.981,0.7,0.5,0.033142,edge,2,ph_3,54.98070000000007,diff gps,N,Y,"c(1050220.12371073, 447213.073101287)"
te.322.ph3,4.4000001,2.0999999,L1L2  Postprocessed Carrier Float,6/13/2024 0:00:00,mistletoe11.cor,58.46,0.9,0.5,0.556609,tran end,322,ph_3,58.4603999999963,diff gps,N,Y,"c(1050237.83137587, 447229.977566829)"
te.321.ph3,2.9000001,1.6,Postprocessed Code,6/13/2024 0:00:00,mistletoe11.cor,51.844,0.6,0.5,0.1659,tran end,321,ph_3,51.843900000007125,diff gps,N,Y,"c(1050249.0606007, 447247.218380506)"
te.320.ph3,4,3,Postprocessed Code,6/13/2024 0:00:00,mistletoe11.cor,56.242,1,0.6,0.959286,tran end,320,ph_3,56.24210000000312,diff gps,N,Y,"c(1050225.75140056, 447255.608363524)"
sm.045.ph3,2.9000001,1.9,Postprocessed Code,6/14/2024 0:00:00,mistletoe11.cor,64.783,0.6,0.5,0.583274,stem map,45,ph_3,64.78320000000531,diff gps,Y,Y,"c(1050207.77484526, 447255.112696993)"
sm.046.ph3,3.7,2,L1  Postprocessed Carrier Float,6/14/2024 0:00:00,mistletoe11.cor,65.861,0.6,0.4,0.448986,stem map,46,ph_3,65.86109999999462,diff gps,Y,Y,"c(1050207.46387652, 447243.49004085)"
sm.047.ph3,4.6999998,1.7,Postprocessed Code,6/14/2024 0:00:00,mistletoe11.cor,67.233,0.7,0.5,0.087752,stem map,47,ph_3,67.2326999999932,diff gps,Y,Y,"c(1050210.50267688, 447226.691570938)"
sm.048.ph3,3.5999999,1.4,Postprocessed Code,6/14/2024 0:00:00,mistletoe11.cor,59.414,0.5,0.4,0.109806,stem map,48,ph_3,59.41370000000461,diff gps,Y,Y,"c(1050218.26770641, 447215.123849458)"
lf.1.ph3,3.8,1.4,Postprocessed Code,6/14/2024 0:00:00,mistletoe11.cor,65.047,0.7,0.5,0.080663,landscape feat,1,ph_3,65.04660000000149,diff gps,N,Y,"c(1050208.34511548, 447218.718077511)"
lf.1.ph3,2.5,1.2,Postprocessed Code,6/14/2024 0:00:00,mistletoe11.cor,67.668,0.6,0.4,0.050482,landscape feat,1,ph_3,67.66749999999593,diff gps,N,Y,"c(1050214.00673143, 447223.764269466)"
lf.1.ph3,2.5999999,1.3,Postprocessed Code,6/14/2024 0:00:00,mistletoe11.cor,63.409,1.3,0.7,0,landscape feat,1,ph_3,63.40929999999934,diff gps,N,Y,"c(1050216.60294454, 447230.196463536)"
lf.1.ph3,2.5,1.3,Postprocessed Code,6/14/2024 0:00:00,mistletoe11.cor,63.313,0.6,0.5,0.135792,landscape feat,1,ph_3,63.313099999999395,diff gps,N,Y,"c(1050210.55891609, 447237.229846899)"
lf.1.ph3,2.8,1.6,L1  Postprocessed Carrier Float,6/14/2024 0:00:00,mistletoe11.cor,68.011,1.1,0.6,0.347589,landscape feat,1,ph_3,68.01119999999355,diff gps,N,Y,"c(1050212.2237257, 447245.080380703)"
ed.1.mi1,27.7999992,16.2999992,Postprocessed Code,6/28/2023 0:00:00,mistletoe.cor,195.66,0.9,0.7,2.110134,edge,1,mi_1,195.6603999999934,diff gps,N,Y,"c(1264041.96797985, 476878.723070128)"
ts.2.mi1,13.6000004,6.3000002,Postprocessed Code,6/28/2023 0:00:00,mistletoe.cor,196.072,0.7,0.4,1.462814,tran start,140,mi_1,196.07200000000012,diff gps,N,N,"c(1264051.90446284, 476900.737915755)"
ts.3.mi1,6.6999998,3.5999999,L1  Postprocessed Carrier Float,6/28/2023 0:00:00,mistletoe.cor,193.51,1.1,0.6,1.219199,tran start,141,mi_1,193.5100999999995,diff gps,N,N,"c(1264063.33384204, 476910.270702716)"
ed.2.mi1,11.1000004,5.1999998,Postprocessed Code,6/28/2023 0:00:00,mistletoe.cor,196.008,0.1,0.1,1.816816,edge,2,mi_1,196.00819999999658,diff gps,N,Y,"c(1264073.46495221, 476916.898411558)"
sm.1.mi1,4.5999999,3.3,Postprocessed Code,6/28/2023 0:00:00,mistletoe.cor,201.189,0,0,0,stem map,21,mi_1,201.18910000000324,diff gps,Y,Y,"c(1264035.71938073, 476884.566611764)"
sm.2.mi1,4.1999998,1.7,L1  Postprocessed Carrier Float,6/28/2023 0:00:00,mistletoe.cor,199.412,0.1,0,0.005349,stem map,22,mi_1,199.41190000000643,diff gps,Y,Y,"c(1264040.99840946, 476897.631373279)"
sm.3.mi1,9.5,4.5,L1L2  Postprocessed Carrier Float,6/29/2023 0:00:00,mistletoe.cor,194.291,0.4,0.4,0.746783,stem map,23,mi_1,194.29099999999744,diff gps,Y,Y,"c(1264054.1632957, 476906.948349584)"
sm.4.mi1,6.3000002,2.8,Postprocessed Code,6/29/2023 0:00:00,mistletoe.cor,189.597,1.1,0.7,0.940151,stem map,24,mi_1,189.5975000000035,diff gps,Y,Y,"c(1264063.72206116, 476917.46522615)"
ip.3.mi1,5.4000001,3.3,Postprocessed Code,6/29/2023 0:00:00,mistletoe2.cor,194.093,1,0.7,1.226014,infect perim,3,mi_1,194.09249999999884,diff gps,N,Y,"c(1264057.371879, 476899.469444689)"
ip.2.mi1,6.9000001,4.1999998,Postprocessed Code,6/29/2023 0:00:00,mistletoe2.cor,191.983,0.2,0.2,0.531237,infect perim,2,mi_1,191.98249999999825,diff gps,N,Y,"c(1264068.43726649, 476902.388602006)"
ip.4.mi1,3.5999999,1.7,L1  Postprocessed Carrier Float,6/29/2023 0:00:00,mistletoe2.cor,197.259,0.5,0.3,1.068613,infect perim,4,mi_1,197.25860000000102,diff gps,N,Y,"c(1264058.08267684, 476897.883883543)"
ip.5.mi1,4.3000002,2.7,Postprocessed Code,6/29/2023 0:00:00,mistletoe2.cor,195.646,1,0.6,1.331345,infect perim,5,mi_1,195.64569999999367,diff gps,N,Y,"c(1264057.44756199, 476891.222193766)"
ip.7.mi1,5.3000002,2.8,L1L2  Postprocessed Carrier Float,6/29/2023 0:00:00,mistletoe2.cor,203.904,0.5,0.4,2.419503,infect perim,7,mi_1,203.9042000000045,diff gps,N,Y,"c(1264050.82630294, 476873.008383848)"
